edge_idx,scenario,zone,age_group,children
7683,baseline,nearest,0_4,210.38
7678,baseline,nearest,0_4,210.23
7679,baseline,nearest,0_4,140.1
7681,baseline,nearest,0_4,140.1
1501,baseline,nearest,0_4,139.88
1502,baseline,nearest,0_4,139.83
10489,baseline,nearest,0_4,139.57
10488,baseline,nearest,0_4,138.25
10490,baseline,nearest,0_4,1.07
12046,baseline,nearest,0_4,1.07
6909,baseline,nearest,0_4,0.73
11686,baseline,nearest,0_4,0.86
6065,baseline,nearest,0_4,4.6
6064,baseline,nearest,0_4,0.92
14460,baseline,nearest,0_4,0.05
5454,baseline,nearest,0_4,0.32
6518,baseline,nearest,0_4,1.95
11995,baseline,nearest,0_4,0.04
4462,baseline,nearest,0_4,136.89
4463,baseline,nearest,0_4,135.99
3042,baseline,nearest,0_4,0.92
3678,baseline,nearest,0_4,1.61
3239,baseline,nearest,0_4,2.12
13489,baseline,nearest,0_4,1.92
3243,baseline,nearest,0_4,1.24
3242,baseline,nearest,0_4,1.03
3245,baseline,nearest,0_4,0.17
12907,baseline,nearest,0_4,0.22
6247,baseline,nearest,0_4,135.57
6907,baseline,nearest,0_4,135.32
12546,baseline,nearest,0_4,135.32
11898,baseline,nearest,0_4,134.93
4128,baseline,nearest,0_4,133.85
3082,baseline,nearest,0_4,2.5
3081,baseline,nearest,0_4,1.31
11690,baseline,nearest,0_4,0.87
5090,baseline,nearest,0_4,2.18
12054,baseline,nearest,0_4,1.32
12056,baseline,nearest,0_4,0.44
3804,baseline,nearest,0_4,1.3
3807,baseline,nearest,0_4,0.77
3806,baseline,nearest,0_4,0.46
12200,baseline,nearest,0_4,0.18
11687,baseline,nearest,0_4,0.38
5757,baseline,nearest,0_4,0.05
3050,baseline,nearest,0_4,0.49
3575,baseline,nearest,0_4,2.0
4119,baseline,nearest,0_4,0.7
5852,baseline,nearest,0_4,5.35
4219,baseline,nearest,0_4,14.3
4218,baseline,nearest,0_4,14.3
12834,baseline,nearest,0_4,13.57
12841,baseline,nearest,0_4,13.34
5331,baseline,nearest,0_4,12.61
5333,baseline,nearest,0_4,0.89
3049,baseline,nearest,0_4,0.11
5091,baseline,nearest,0_4,12.26
6586,baseline,nearest,0_4,11.66
5627,baseline,nearest,0_4,10.46
5626,baseline,nearest,0_4,5.87
6180,baseline,nearest,0_4,2.51
10554,baseline,nearest,0_4,1.32
5590,baseline,nearest,0_4,0.7
4129,baseline,nearest,0_4,133.17
7118,baseline,nearest,0_4,6.27
4512,baseline,nearest,0_4,6.27
4510,baseline,nearest,0_4,4.19
6585,baseline,nearest,0_4,0.4
12579,baseline,nearest,0_4,0.08
13438,baseline,nearest,0_4,0.72
5152,baseline,nearest,0_4,0.36
5151,baseline,nearest,0_4,0.36
3130,baseline,nearest,0_4,2.52
5094,baseline,nearest,0_4,2.43
14182,baseline,nearest,0_4,2.21
13495,baseline,nearest,0_4,1.99
13494,baseline,nearest,0_4,1.77
13497,baseline,nearest,0_4,1.32
12104,baseline,nearest,0_4,0.22
6269,baseline,nearest,0_4,1.38
13485,baseline,nearest,0_4,0.52
5949,baseline,nearest,0_4,75.35
5332,baseline,nearest,0_4,10.87
14498,baseline,nearest,0_4,2.07
3995,baseline,nearest,0_4,3.6
9788,baseline,nearest,0_4,3.47
11795,baseline,nearest,0_4,1.24
3131,baseline,nearest,0_4,2.15
5304,baseline,nearest,0_4,0.54
14521,baseline,nearest,0_4,0.35
10886,baseline,nearest,0_4,0.32
6897,baseline,nearest,0_4,0.11
5948,baseline,nearest,0_4,73.55
5425,baseline,nearest,0_4,73.26
5424,baseline,nearest,0_4,70.15
11615,baseline,nearest,0_4,66.23
5952,baseline,nearest,0_4,62.63
5951,baseline,nearest,0_4,58.51
11598,baseline,nearest,0_4,58.16
6605,baseline,nearest,0_4,36.3
6604,baseline,nearest,0_4,35.81
6607,baseline,nearest,0_4,34.37
4437,baseline,nearest,0_4,33.86
4436,baseline,nearest,0_4,30.26
6517,baseline,nearest,0_4,29.22
5975,baseline,nearest,0_4,9.0
14909,baseline,nearest,0_4,0.68
14908,baseline,nearest,0_4,0.06
4896,baseline,nearest,0_4,3.88
4895,baseline,nearest,0_4,1.84
5625,baseline,nearest,0_4,2.99
5628,baseline,nearest,0_4,1.99
6271,baseline,nearest,0_4,0.52
12335,baseline,nearest,0_4,0.3
7121,baseline,nearest,0_4,126.9
7117,baseline,nearest,0_4,124.33
7115,baseline,nearest,0_4,73.21
7110,baseline,nearest,0_4,66.03
3410,baseline,nearest,0_4,63.4
3412,baseline,nearest,0_4,6.88
7116,baseline,nearest,0_4,12.74
8791,baseline,nearest,0_4,10.17
8788,baseline,nearest,0_4,10.17
8787,baseline,nearest,0_4,2.75
2699,baseline,nearest,0_4,0.62
2698,baseline,nearest,0_4,0.42
2701,baseline,nearest,0_4,0.37
6932,baseline,nearest,0_4,270.89
8376,baseline,nearest,0_4,270.19
6591,baseline,nearest,0_4,270.19
6593,baseline,nearest,0_4,207.33
1642,baseline,nearest,0_4,204.19
1644,baseline,nearest,0_4,193.16
1781,baseline,nearest,0_4,184.45
1779,baseline,nearest,0_4,183.64
1777,baseline,nearest,0_4,183.64
8362,baseline,nearest,0_4,183.64
3850,baseline,nearest,0_4,183.48
3849,baseline,nearest,0_4,58.52
3847,baseline,nearest,0_4,57.99
3846,baseline,nearest,0_4,42.35
3843,baseline,nearest,0_4,39.78
3840,baseline,nearest,0_4,34.41
3839,baseline,nearest,0_4,30.84
9387,baseline,nearest,0_4,29.76
3837,baseline,nearest,0_4,0.34
3834,baseline,nearest,0_4,0.34
9801,baseline,nearest,0_4,0.34
9800,baseline,nearest,0_4,0.34
422,baseline,nearest,0_4,0.34
420,baseline,nearest,0_4,0.34
12246,baseline,nearest,0_4,0.34
12245,baseline,nearest,0_4,0.34
7007,baseline,nearest,0_4,0.34
437,baseline,nearest,0_4,0.34
436,baseline,nearest,0_4,0.34
434,baseline,nearest,0_4,0.34
230,baseline,nearest,0_4,0.34
228,baseline,nearest,0_4,0.34
226,baseline,nearest,0_4,0.34
126,baseline,nearest,0_4,0.34
127,baseline,nearest,0_4,0.34
223,baseline,nearest,0_4,0.34
219,baseline,nearest,0_4,0.34
221,baseline,nearest,0_4,0.34
150,baseline,nearest,0_4,0.34
151,baseline,nearest,0_4,0.34
218,baseline,nearest,0_4,0.34
217,baseline,nearest,0_4,0.34
9785,baseline,nearest,0_4,0.34
12209,baseline,nearest,0_4,0.34
215,baseline,nearest,0_4,0.34
213,baseline,nearest,0_4,0.34
214,baseline,nearest,0_4,0.34
13625,baseline,nearest,0_4,0.34
11987,baseline,nearest,0_4,0.34
34,baseline,nearest,0_4,0.34
33,baseline,nearest,0_4,0.34
8,baseline,nearest,0_4,0.34
7,baseline,nearest,0_4,0.34
36,baseline,nearest,0_4,0.21
39,baseline,nearest,0_4,0.21
9789,baseline,nearest,0_4,2.03
